iter	Passed	Remaining
0	135	135385
1	138	69138
2	140	46836
3	143	35776
4	146	29087
5	148	24601
6	150	21295
7	151	18811
8	153	16942
9	156	15460
10	157	14157
11	158	13084
12	160	12160
13	161	11356
14	162	10656
15	163	10047
16	164	9512
17	165	9037
18	166	8607
19	167	8227
20	168	7874
21	170	7570
22	171	7297
23	173	7037
24	174	6792
25	175	6564
26	176	6364
27	177	6174
28	179	5994
29	180	5821
30	181	5663
31	182	5523
32	183	5382
33	184	5244
34	185	5119
35	186	5000
36	187	4892
37	189	4790
38	190	4690
39	191	4593
40	192	4498
41	193	4407
42	194	4328
43	195	4247
44	196	4177
45	198	4108
46	199	4043
47	200	3981
48	201	3917
49	203	3857
50	204	3798
51	205	3745
52	206	3689
53	207	3633
54	208	3580
55	209	3529
56	210	3479
57	211	3436
58	212	3391
59	213	3347
60	214	3304
61	216	3269
62	217	3230
63	218	3196
64	219	3159
65	220	3123
66	221	3089
67	223	3059
68	224	3031
69	225	3000
70	226	2969
71	227	2938
72	229	2909
73	230	2880
74	231	2852
75	232	2825
76	233	2799
77	234	2772
78	235	2745
79	238	2743
80	239	2718
81	240	2692
82	241	2662
83	242	2639
84	243	2619
85	244	2597
86	245	2575
87	246	2552
88	247	2531
89	248	2509
90	249	2492
91	250	2472
92	251	2453
93	252	2433
94	253	2416
95	254	2399
96	256	2383
97	257	2366
98	258	2348
99	259	2332
100	260	2316
101	261	2303
102	262	2289
103	264	2275
104	265	2259
105	266	2243
106	267	2229
107	268	2215
108	269	2201
109	270	2187
110	271	2173
111	272	2160
112	273	2146
113	274	2135
114	277	2135
115	278	2122
116	279	2108
117	280	2098
118	281	2086
119	282	2073
120	283	2061
121	284	2048
122	285	2036
123	286	2026
124	287	2015
125	288	2004
126	289	1992
127	290	1981
128	291	1971
129	293	1962
130	295	1958
131	296	1948
132	297	1937
133	298	1927
134	299	1918
135	300	1909
136	301	1900
137	302	1890
138	303	1881
139	305	1873
140	306	1865
141	306	1854
142	308	1846
143	309	1837
144	310	1828
145	311	1823
146	313	1816
147	314	1807
148	315	1799
149	316	1791
150	317	1783
151	318	1776
152	319	1770
153	320	1762
154	321	1754
155	322	1747
156	324	1740
157	325	1733
158	326	1726
159	327	1719
160	328	1709
161	329	1701
162	330	1695
163	331	1687
164	332	1681
165	333	1673
166	334	1666
167	335	1660
168	336	1655
169	337	1648
170	338	1642
171	339	1636
172	340	1630
173	342	1625
174	343	1618
175	344	1611
176	345	1604
177	346	1598
178	347	1592
179	348	1587
180	349	1582
181	350	1576
182	351	1570
183	352	1564
184	353	1558
185	355	1554
186	356	1549
187	357	1543
188	358	1537
189	359	1531
190	360	1527
191	361	1522
192	362	1517
193	363	1511
194	365	1507
195	366	1502
196	367	1498
197	368	1493
198	369	1488
199	370	1483
200	372	1479
201	373	1475
202	374	1470
203	375	1465
204	376	1459
205	377	1455
206	378	1451
207	380	1447
208	381	1442
209	382	1437
210	383	1433
211	384	1428
212	385	1425
213	386	1420
214	387	1416
215	388	1411
216	390	1407
217	391	1403
218	392	1399
219	393	1395
220	394	1391
221	395	1386
222	396	1381
223	397	1378
224	398	1374
225	400	1369
226	401	1365
227	402	1361
228	403	1356
229	404	1354
230	405	1351
231	406	1346
232	407	1342
233	408	1338
234	410	1334
235	411	1330
236	412	1326
237	413	1322
238	413	1318
239	414	1313
240	416	1310
241	417	1308
242	418	1304
243	420	1301
244	421	1298
245	423	1296
246	424	1293
247	425	1290
248	426	1286
249	427	1282
250	428	1279
251	429	1276
252	430	1272
253	431	1268
254	432	1264
255	433	1261
256	435	1258
257	436	1255
258	437	1251
259	438	1247
260	439	1244
261	440	1240
262	441	1237
263	442	1234
264	443	1230
265	444	1226
266	445	1223
267	446	1220
268	447	1217
269	448	1213
270	449	1210
271	451	1207
272	451	1203
273	453	1200
274	454	1197
275	455	1193
276	456	1190
277	457	1187
278	458	1184
279	459	1182
280	460	1179
281	462	1177
282	463	1173
283	464	1170
284	465	1167
285	466	1164
286	467	1161
287	468	1158
288	469	1155
289	470	1152
290	471	1149
291	473	1147
292	474	1144
293	475	1141
294	476	1138
295	478	1138
296	479	1135
297	480	1132
298	481	1129
299	482	1126
300	483	1122
301	484	1120
302	485	1117
303	486	1114
304	487	1111
305	488	1108
306	490	1106
307	491	1104
308	492	1101
309	493	1099
310	494	1096
311	496	1093
312	497	1091
313	498	1089
314	500	1087
315	501	1084
316	502	1082
317	504	1080
318	505	1078
319	506	1076
320	508	1074
321	509	1073
322	511	1071
323	512	1069
324	513	1066
325	514	1064
326	516	1062
327	517	1060
328	518	1058
329	520	1056
330	522	1055
331	523	1053
332	524	1051
333	525	1048
334	526	1045
335	528	1043
336	529	1041
337	530	1038
338	531	1036
339	532	1033
340	533	1031
341	535	1029
342	536	1027
343	537	1025
344	538	1023
345	540	1022
346	542	1021
347	544	1019
348	545	1017
349	546	1015
350	547	1013
351	549	1011
352	550	1009
353	551	1006
354	553	1005
355	554	1003
356	556	1001
357	557	999
358	559	998
359	560	996
360	561	994
361	564	994
362	565	992
363	567	990
364	568	988
365	569	985
366	570	983
367	571	982
368	573	980
369	574	977
370	575	975
371	576	973
372	578	971
373	579	969
374	580	967
375	581	965
376	583	963
377	584	961
378	585	959
379	586	957
380	587	955
381	589	953
382	590	951
383	591	949
384	593	947
385	594	945
386	595	943
387	596	941
388	597	938
389	598	936
390	600	934
391	600	932
392	602	930
393	603	928
394	604	926
395	605	924
396	606	921
397	608	920
398	610	918
399	611	917
400	612	915
401	614	914
402	616	912
403	617	911
404	618	908
405	619	906
406	621	905
407	622	903
408	623	901
409	624	899
410	626	897
411	627	895
412	628	893
413	629	891
414	630	888
415	631	886
416	632	884
417	633	882
418	634	880
419	635	878
420	637	876
421	637	873
422	638	871
423	640	869
424	641	867
425	642	865
426	643	863
427	644	860
428	645	858
429	646	857
430	647	855
431	648	852
432	649	850
433	650	848
434	651	846
435	653	845
436	654	842
437	655	840
438	656	838
439	657	836
440	658	834
441	659	832
442	660	830
443	661	828
444	662	826
445	663	824
446	665	822
447	666	820
448	667	818
449	668	816
450	669	814
451	670	812
452	671	810
453	672	808
